PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Activity Summary,Ratio Activity,Ratio Potency (uM),Ratio Efficacy (%),535 nm Activity,535 nm Potency (uM),535 nm Efficacy (%),590 nm Activity,590 nm Potency (uM),590 nm Efficacy (%),Viability Activity,Viability Potency (uM),Viability Efficacy (%),Sample Source
4762,144208315,15458,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
4763,144208316,8717,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
4764,144208317,11509,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
4765,144208318,3083585,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,MRI synthesis
4766,144208319,20039,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
4767,144208320,14357,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
4768,144208321,38764,Active,45,,,active antagonist,active antagonist,42.53,-109.086,inactive,,0,active antagonist,40.9288,-104.278,inactive,,0,SIGMA
4769,144208322,11604,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
4770,144208323,6502,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
4771,144208324,135436526,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inconclusive agonist,,,ChemService
4772,144208325,10907,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
4773,144208326,7673,Active,45,,,active antagonist,active antagonist,43.0067,-103.185,active agonist,54.1423,40.3539,active antagonist,52.1038,-90.6503,inactive,,0,SigmaAldrich
4774,144208327,24116,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
4775,144208328,16907,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
4776,144208329,5827,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Alfa Aesar
4777,144208330,6650,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SV Chembiotech
4778,144208331,23689980,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
4779,144208332,8667,Inconclusive,10,,,inconclusive agonist,inconclusive agonist,,,inactive,,0,inconclusive agonist,,,inactive,,0,ChemService
4780,144208333,7854,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
4781,144208334,460,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
4782,144208335,5375199,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
4783,144208336,701,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,City Chemical
4784,144208337,91555,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
4785,144208338,8881,Inactive,0,,,inactive,inactive,,0,inactive,,0,inconclusive agonist,,,inactive,,0,SIGMA
4786,144208339,6419,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
4787,144208340,10226,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
4788,144208341,36159,Active,51,,,active antagonist,active antagonist,15.4647,-105.483,active agonist,8.69643,92.673,active antagonist,43.5854,-77.1034,inactive,,0,LKT Lab
4789,144208342,18273,Inconclusive,10,,,inconclusive agonist,inconclusive agonist,,,inactive,,0,inconclusive agonist,,,inactive,,0,SIGMA
4790,144208343,62553,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
4791,144208344,11927,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
4792,144208345,7638,Active,47,,,active antagonist,active antagonist,31.1578,-105.896,active agonist,31.1578,30.5903,active antagonist,40.7599,-100.852,inactive,,0,SigmaAldrich
4793,144208346,23565,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
4794,144208347,66172,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
4795,144208348,5284452,Active,56,,,active antagonist,active antagonist,5.88889,-97.5672,inconclusive agonist,,29.55,active antagonist,5.66717,-96.8787,active agonist,54.5381,53.2032,SigmaAldrich
4796,144208349,637930,Inconclusive,5,,,inconclusive,inconclusive antagonist,76.0656,-69.3819,active agonist,64.0013,25.1631,inconclusive agonist,25.4794,70.9835,inactive,,0,SIGMA
4797,144208350,9246,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
4798,144208351,5281576,Active,61,,,active antagonist,active antagonist,4.16811,-107.267,active agonist,,25.9555,active antagonist,4.01118,-96.7328,active antagonist,40.7323,-64.2315,SIGMA
4799,144208352,61247,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
4800,144208353,5365552,Inconclusive,5,,,inconclusive,inconclusive,,,inactive,,0,inconclusive,,,inactive,,0,SigmaAldrich
4801,144208354,73668,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,ChemService
4802,144208355,7908,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
4803,144208356,6197,Inconclusive,20,,,active agonist,active agonist,0.215577,55.4936,inactive,,0,active agonist,0.13602,51.8539,active agonist,17.1239,39.0384,EMD Chemicals
4804,144208357,62770,Inconclusive,5,,,inconclusive,inconclusive antagonist,13.2506,-50.3609,active agonist,54.8153,75.335,inconclusive agonist,,63.964,active agonist,2.13256,39.1023,LKT Lab
4805,144208358,2756,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
4806,144208359,62648,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
4807,144208360,15277,Inconclusive,25,,,inconclusive antagonist (cytotoxic),active antagonist,42.8374,-94.3704,inactive,,0,active antagonist,34.027,-82.6906,active antagonist,65.3366,-46.9203,SIGMA
4808,144208361,12111,Active,44,,,active antagonist,active antagonist,45.3363,-89.5733,active agonist,54.9262,62.157,active antagonist,69.148,-72.1018,inactive,,0,SigmaAldrich
4809,144208362,656655,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
4810,144208363,5280863,Active,57,,,active antagonist,active antagonist,5.63839,-97.2916,inconclusive agonist,60.882,21.739,active antagonist,5.02522,-87.4013,inactive,,0,SIGMA
4811,144208364,10949,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
4812,144208365,10316,Active,40,,,active antagonist,active antagonist,68.5896,-44.5342,inactive,,0,inconclusive antagonist,68.5896,-43.8239,inactive,,0,SIGMA
4813,144208366,6348,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
4814,144208367,70038,Active,52,,,active antagonist,active antagonist,14.0763,-104.34,inactive,,0,active antagonist,13.0364,-100.763,inactive,,0,SigmaAldrich
4815,144208368,6364,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
4816,144208369,385,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
4817,144208370,135464373,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
4818,144208371,24433,Inconclusive,5,,,inconclusive,inconclusive antagonist,61.4415,-32.6586,inactive,,0,inactive,,0,inactive,,0,SIGMA
4819,144208372,19871,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
4820,144208373,8082,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
4821,144208374,82728,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
4822,144208375,61249,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
4823,144208376,11674,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,ChemService
4824,144208377,7922,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
4825,144208378,62969,Inconclusive,20,,,active agonist,active agonist,32.3873,64.482,inactive,,0,inconclusive agonist,24.287,35.597,inactive,,0,SIGMA
4826,144208379,17549,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
4827,144208380,6618,Active,52,,,active antagonist,active antagonist,14.7171,-109.239,active agonist,46.5395,301.878,inconclusive antagonist,54.2611,-93.0461,inactive,,0,Albemarle
4828,144208381,517637,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
4829,144208382,15413,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
4830,144208383,7899,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
4831,144208384,320930,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
4832,144208385,61179,Inconclusive,5,,,inconclusive,inconclusive agonist,,38.1938,inactive,,0,inactive,,0,active agonist,21.6398,35.4286,LKT Lab
4833,144208386,23294,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
4834,144208387,5765,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
4835,144208388,6389,Inconclusive,5,,,inconclusive,inconclusive antagonist,2.72227,-44.1458,inactive,,0,inactive,,0,inactive,,0,SIGMA
4836,144208389,2346,Active,42,,,active antagonist,active antagonist,59.4278,-84.7971,inactive,,0,inconclusive antagonist,55.0372,-85.7569,inconclusive agonist,,44.5545,SigmaAldrich
4837,144208390,5371084,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
4838,144208391,62374,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
4839,144208392,9380,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
4840,144208393,6753,Active,41,,,active antagonist,active antagonist,54.0397,-57.5791,inactive,,0,inconclusive antagonist,60.6336,-70.9702,inactive,,0,SIGMA
4841,144208394,31373,Inactive,0,,,inactive,inactive,,0,inactive,,0,inconclusive agonist,,,inactive,,0,SIGMA
4842,144208395,13849,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
4843,144208396,66449,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
4844,144208397,7767,Inconclusive,10,,,inconclusive agonist,inconclusive agonist,,,inactive,,0,inconclusive agonist,,,inactive,,0,SigmaAldrich
4845,144208398,73282,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,ChemService
4846,144208399,7944,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
4847,144208400,3301,Inactive,0,,,inactive,inactive,,0,inactive,,0,inconclusive agonist,,,inactive,,0,SigmaAldrich
4848,144208401,2999413,Active,52,,,active antagonist,active antagonist,9.03665,-88.707,inactive,,0,active antagonist,9.75755,-89.5243,active antagonist,51.8013,-58.7614,Toronto Research
4849,144208402,91649,Inconclusive,25,,,inconclusive antagonist (cytotoxic),active antagonist,20.1072,-95.772,inactive,,0,active antagonist,21.7112,-95.059,active antagonist,55.5927,-52.2218,Toronto Research
4850,144208403,6602188,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
4851,144208404,6259976,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
4852,144208405,6590,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
4853,144208406,94308,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
4854,144208407,53665,Inconclusive,30,,,inconclusive antagonist,inconclusive antagonist,63.0003,-62.8714,inactive,,0,inconclusive antagonist,,,inactive,,0,RTI
4855,144208408,79717,Inconclusive,25,,,inconclusive antagonist (cytotoxic),active antagonist,20.9641,-72.9516,active agonist,31.9749,41.8107,active antagonist,24.9159,-64.1794,active antagonist,29.6126,-32.8691,SIGMA
4856,144208409,68289,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
4857,144208410,9904,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inconclusive antagonist,,,Toronto Research
4858,144208411,8900,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
4859,144208412,6560,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
4860,144208413,970,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
4861,144208414,22833321,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Interchem
4862,144208415,13404,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
4863,144208416,650,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
4864,144208417,13888,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
4865,144208418,75969,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
4866,144208419,67058,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
4867,144208420,13514,Active,65,,,active antagonist,active antagonist,1.22374,-93.4087,active antagonist,29.5816,-29.9383,active antagonist,1.32136,-84.7385,inconclusive antagonist,,,ChemService
4868,144208421,7964,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
4869,144208422,1140,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
4870,144208423,18056,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
4871,144208424,41684,Active,72,,,active antagonist,active antagonist,0.555791,-100.528,active antagonist,33.1064,-59.7214,active antagonist,0.555791,-96.0073,active antagonist,0.555791,-21.3567,Toronto Research
4872,144208425,61345,Inconclusive,5,,,inconclusive,inconclusive agonist,,,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
4873,144208426,16096,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
4874,144208427,14347,Active,44,,,active antagonist,active antagonist,41.3137,-86.5215,active agonist,36.1211,40.1496,inconclusive antagonist,39.0026,-60.5778,inactive,,0,SigmaAldrich
4875,144208428,5284385,Inconclusive,5,,,inconclusive,inconclusive agonist,,33.9198,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
4876,144208429,65114,Inconclusive,5,,,inconclusive,inconclusive,,,inactive,,0,inactive,,0,inactive,,0,RTI
4877,144208430,13539,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
4878,144208431,8640,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
4879,144208432,28780,Inconclusive,5,,,inconclusive,inconclusive antagonist,,,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
4880,144208433,14242,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,FLUKA
4881,144208434,10788,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
4882,144208435,7206,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
4883,144208436,8497,Inactive,0,,,inactive,inactive,,0,inactive,,0,inconclusive antagonist,,-38.3819,inactive,,0,unknown
4884,144208437,5339,Inactive,0,,,inactive,inactive,,0,inactive,,0,active antagonist,46.8722,-31.2775,inactive,,0,SIGMA
4885,144208438,17355,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
4886,144208439,1752,Inconclusive,25,,,inconclusive antagonist (cytotoxic),active antagonist,9.06407,-102.26,inactive,,0,active antagonist,10.5679,-100.316,active antagonist,17.4043,-36.9556,SIGMA
4887,144208440,7284,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
4888,144208441,2733526,Inconclusive,25,,,inconclusive antagonist (cytotoxic),inconclusive antagonist,,-34.7332,active antagonist,11.8096,-31.5651,inconclusive antagonist,24.4851,-91.7407,inconclusive antagonist,58.0633,-59.3658,SigmaAldrich
4889,144208442,22188,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,ChemService
4890,144208443,23677963,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Sensient
4891,144208444,6305,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
4892,144208445,8129,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
4893,144208446,8715,Active,50,,,active antagonist,active antagonist,3.82964,-55.2476,inactive,,0,active antagonist,6.06957,-59.196,inactive,,0,SigmaAldrich
4894,144208447,12955,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inconclusive agonist,69.7072,33.9449,SigmaAldrich
4895,144208448,1672,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
4896,144208449,7238,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
4897,144208450,444913,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
4898,144208451,18303,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
4899,144208452,8295,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
4900,144208453,5921,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
4901,144208454,7242,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
4902,144208455,31276,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
4903,144208456,6108,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
4904,144208457,6228,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
4905,144208458,3035,Active,47,,,active antagonist,active antagonist,25.9071,-90.055,active agonist,24.9317,32.481,active antagonist,31.3871,-79.6292,inactive,,0,Alfa Aesar
4906,144208459,5284443,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Alfa Aesar
4907,144208460,68570,Active,46,,,active antagonist,active antagonist,27.7788,-91.9392,active agonist,67.15,38.9632,active antagonist,31.1683,-78.1842,inconclusive antagonist,,-31.0317,SigmaAldrich
4908,144208461,6635,Active,44,,,active antagonist,active antagonist,45.5654,-94.7385,inactive,,0,active antagonist,45.5654,-90.8429,inactive,,0,ChemService
4909,144208462,9795,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Chemos
4910,144208463,7934,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
4911,144208464,31256,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
4912,144208465,517546,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
4913,144208466,79103,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
4914,144208467,7565,Inconclusive,30,,,inconclusive antagonist,inconclusive antagonist,,-20.3114,inactive,,0,inconclusive antagonist,46.9626,-34.4376,inactive,,0,SigmaAldrich
4915,144208468,8098,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
4916,144208469,15560,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
4917,144208470,5807,Inconclusive,5,,,inconclusive,inconclusive agonist,,,inactive,,0,inactive,,0,inactive,,0,SIGMA
4918,144208471,1483,Active,44,,,active antagonist,active antagonist,52.5381,-118.688,active agonist,61.2549,35.15,active antagonist,54.5935,-116.518,inactive,,0,SIGMA
4919,144208472,11335,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
4920,144208473,7267,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
4921,144208474,8606,Active,43,,,active antagonist,active antagonist,48.3603,-82.8196,inactive,,0,active antagonist,43.1011,-81.6643,inactive,,0,SIGMA
4922,144208475,12484,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
4923,144208476,11065,Inconclusive,5,,,inconclusive,active agonist,6.11306,52.8773,inactive,,0,inconclusive,,,inactive,,0,SIGMA
4924,144208477,379,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
4925,144208478,7078,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
4926,144208479,9502,Active,41,,,active antagonist,active antagonist,61.3793,-72.3661,active agonist,61.3793,26.3449,active antagonist,63.7806,-61.089,inconclusive antagonist,,-39.5166,SigmaAldrich
4927,144208480,13728,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,ChemService
4928,144208481,18487,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Sensient
4929,144208482,8066,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
4930,144208483,8572,Inconclusive,25,,,inconclusive antagonist (cytotoxic),active antagonist,35.0415,-101.869,inactive,,0,active antagonist,36.4124,-94.3449,active antagonist,51.4339,-40.3175,SigmaAldrich
4931,144208484,5281168,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
4932,144208485,13578,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
4933,144208486,7804,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
4934,144208487,2723770,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
4935,144208488,7367,Inconclusive,5,,,inconclusive,inconclusive agonist,,,inactive,,0,inactive,,0,inactive,,0,SIGMA
4936,144208489,5991,Inconclusive,25,,,inconclusive antagonist (cytotoxic),active antagonist,17.7756,-95.9968,inactive,,0,active antagonist,21.5356,-104.193,active antagonist,29.2746,-38.7786,SIGMA
4937,144208490,8413,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
4938,144208491,1732,Inconclusive,25,,,inconclusive antagonist (cytotoxic),active antagonist,40.7737,-98.9528,active agonist,45.7488,31.3475,active antagonist,44.0264,-96.5156,inconclusive antagonist,62.1889,-36.4014,SIGMA
4939,144208492,2723650,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
4940,144208493,24744,Active,59,,,active antagonist,active antagonist,3.3082,-92.4469,active agonist,8.63492,91.4123,active antagonist,5.04574,-86.4432,active antagonist,7.69588,-27.6358,SigmaAldrich
4941,144208494,6294,Active,51,,,active antagonist,active antagonist,13.3848,-92.9642,inactive,,0,active antagonist,13.3848,-83.6059,inactive,,0,SIGMA
4942,144208495,11742,Active,60,,,active antagonist,active antagonist,3.03888,-94.2174,active agonist,5.40397,117.385,active antagonist,6.8032,-80.8563,inconclusive antagonist,48.163,-64.6088,SIGMA
4943,144208496,15965,Inconclusive,30,,,inconclusive antagonist,inconclusive antagonist,,,inactive,,0,inconclusive antagonist,,,inactive,,0,SIGMA
4944,144208497,811,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
4945,144208498,62276,Active,45,,,active antagonist,active antagonist,35.5396,-87.2491,inconclusive antagonist,,-23.4298,active antagonist,30.4821,-86.0044,inconclusive antagonist,,-27.5592,SigmaAldrich
4946,144208499,10458,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
4947,144208500,14218,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Sensient
4948,144208501,8916,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
4949,144208502,17092,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
4950,144208503,2771871,Inconclusive,5,,,inconclusive,inconclusive antagonist,24.3118,-35.3177,inactive,,0,inactive,,0,inconclusive antagonist,72.5799,-37.6798,SigmaAldrich
4951,144208504,8294,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
4952,144208505,17816,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
4953,144208506,7154,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
4954,144208507,11164,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
4955,144208508,22584,Active,54,,,active antagonist,active antagonist,5.03548,-79.8794,inactive,,0,active antagonist,5.03548,-88.6248,active antagonist,54.3719,-52.283,SigmaAldrich
4956,144208509,13,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
4957,144208510,12076,Active,41,,,active antagonist,active antagonist,35.0415,-33.5302,inactive,,0,active antagonist,47.6339,-44.7482,inactive,,0,SIGMA
4958,144208511,7411,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
4959,144208512,8805,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
4960,144208513,6501,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
4961,144208514,12749,Inactive,0,,,inactive,inactive,,0,inactive,,0,inconclusive agonist,,,inactive,,0,SIGMA
4962,144208515,8196,Inconclusive,5,,,inconclusive,inconclusive agonist,,,inactive,,0,inactive,,0,inactive,,0,ChemService
4963,144208516,7450,Inconclusive,5,,,inconclusive,inconclusive,,,inactive,,0,inactive,,0,inactive,,0,SIGMA
4964,144208517,7207,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
4965,144208518,8190,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
4966,144208519,122499,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Sensient
4967,144208520,6054,Inconclusive,30,,,inconclusive antagonist,inconclusive antagonist,19.4295,-61.5821,inactive,,0,inconclusive antagonist,,,inactive,,0,SigmaAldrich
