PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Phenotype,Potency,Efficacy,Analysis Comment,W590-Activity_Score,W590-Curve_Description,W590-Fit_LogAC50,W590-Fit_HillSlope,W590-Fit_R2,W590-Fit_InfiniteActivity,W590-Fit_ZeroActivity,W590-Fit_CurveClass,W590-Excluded_Points,W590-Max_Response,W590-Activity at 0.0005898618 uM,W590-Activity at 0.00295 uM,W590-Activity at 0.015 uM,W590-Activity at 0.033 uM,W590-Activity at 0.074 uM,W590-Activity at 0.165 uM,W590-Activity at 0.369 uM,W590-Activity at 0.825 uM,W590-Activity at 1.843 uM,W590-Activity at 4.120 uM,W590-Activity at 9.217 uM,W590-Activity at 20.60 uM,W590-Activity at 46.08 uM,W590-Activity at 92.17 uM,Ratio-Activity_Score,Ratio-Curve_Description,Ratio-Fit_LogAC50,Ratio-Fit_HillSlope,Ratio-Fit_R2,Ratio-Fit_InfiniteActivity,Ratio-Fit_ZeroActivity,Ratio-Fit_CurveClass,Ratio-Excluded_Points,Ratio-Max_Response,Ratio-Activity at 0.0005899000 uM,Ratio-Activity at 0.00295 uM,Ratio-Activity at 0.015 uM,Ratio-Activity at 0.033 uM,Ratio-Activity at 0.074 uM,Ratio-Activity at 0.165 uM,Ratio-Activity at 0.369 uM,Ratio-Activity at 0.824 uM,Ratio-Activity at 1.843 uM,Ratio-Activity at 4.122 uM,Ratio-Activity at 9.217 uM,Ratio-Activity at 20.61 uM,Ratio-Activity at 46.08 uM,Ratio-Activity at 92.17 uM,W535-Activity_Score,W535-Curve_Description,W535-Fit_LogAC50,W535-Fit_HillSlope,W535-Fit_R2,W535-Fit_InfiniteActivity,W535-Fit_ZeroActivity,W535-Fit_CurveClass,W535-Excluded_Points,W535-Max_Response,W535-Activity at 0.0005898618 uM,W535-Activity at 0.00295 uM,W535-Activity at 0.015 uM,W535-Activity at 0.033 uM,W535-Activity at 0.074 uM,W535-Activity at 0.165 uM,W535-Activity at 0.369 uM,W535-Activity at 0.825 uM,W535-Activity at 1.843 uM,W535-Activity at 4.120 uM,W535-Activity at 9.217 uM,W535-Activity at 20.60 uM,W535-Activity at 46.08 uM,W535-Activity at 92.17 uM,Compound QC
808,17389469,7289,Inactive,0,http://assay.nih.gov/htsws/rest/display/mitochondria-p1-ntp-5hr/AB08082698-01/37857210,,Inactive,,,,0,,-6.5,2.0479,0.7168,-5.575,3.5,4,0 0 0 0 0 0 0 0 0 1 0 1 0 0,-6.771,4.6641,4.9409,-1.1004,7.6026,1.714,0.5766,-0.3366,-4.0228,-9.6458,-10.2136,-4.3817,8.1027,-2.2368,-6.771,10,,-7.0251,2.9523,0.4921,-6.0195,2,4,0 0 0 0 0 0 0 0 0 0 0 0 0 0,-9.6485,1.3219,2.3719,-0.7586,6.5467,-2.1549,-3.4175,-4.5796,-3.785,-10.8496,-9.674,-5.4066,3.5492,-7.4311,-9.6485,10,,-4.85,4.095,0.8662,5,-2.391,4,1 0 0 0 0 0 0 0 0 0 0 0 0 0,5.273,0.1742,-1.6295,-3.9575,-4.9092,-0.4748,-1.989,-0.7004,-3.7187,-2.3892,-2.2977,-0.973,3.5708,5.3443,5.273,QC'd by NIEHS/NTP
809,17389470,637892,Inactive,0,http://assay.nih.gov/htsws/rest/display/mitochondria-p1-ntp-5hr/AB08009056-01/37857174,,Inactive,,,,0,,,,,,,4,,-1.4387,-5.1318,4.3226,-0.1538,-7.7916,1.8254,0.5131,1.0764,11.2922,2.233,-6.8331,-3.0658,-10.8946,-1.2118,-1.4387,10,,,,,,,4,,1.0504,-1.3965,4.0404,1.6873,-7.7473,-1.1193,-0.1642,-0.0439,8.8827,-0.3571,-8.2535,1.0012,-7.5918,1.2527,1.0504,10,,-4.6,4.9549,0.8054,2.5,-1.1988,4,0 0 0 0 0 0 0 1 0 0 0 0 0 0,1.9782,-1.8741,-1.1371,-1.3241,-2.1724,-1.1097,-1.5155,-0.4424,0.4488,-0.5221,-2.249,-0.1296,-0.4917,3.0423,1.9782,QC'd by NIEHS/NTP
810,17389471,7950,Inactive,0,http://assay.nih.gov/htsws/rest/display/mitochondria-p1-ntp-5hr/AB07976058-01/37857189,,Inactive,,,,0,,-4.45,4.9549,0.7628,8.5,-3.7007,4,0 0 0 0 0 0 0 1 0 0 0 0 0 0,8.104,-2.309,-6.4378,-2.9556,-2.8421,0.9186,-5.5943,-5.1219,1.0929,-7.6673,-4.3262,-1.2424,-5.013,6.3733,8.104,10,,,,,,,4,,2.2498,0.5248,-4.5119,-5.852,-2.4484,1.2242,-4.8936,-3.0249,0.797,-4.5992,-3.0548,-3.2516,-8.2682,3.0272,2.2498,10,,,,,,,4,,-3.306,-1.1685,-0.9615,4.2293,-0.8916,-0.1865,-2.1089,-2.0304,-0.9999,-2.0755,-0.4157,0.0579,-0.612,-4.962,-3.306,QC'd by NIEHS/NTP
811,17389472,18604,Inactive,0,http://assay.nih.gov/htsws/rest/display/mitochondria-p1-ntp-5hr/AB07992995-01/37856674,,Inactive,,,,0,,,,,,,4,,14.6826,-5.4653,7.9437,-0.6849,1.5077,7.0852,4.6867,-6.7455,-4.1717,0.4852,-6.1123,3.2531,3.8176,-1.0871,14.6826,10,,,,,,,4,,8.2747,-2.5143,7.0972,-0.1234,-0.0116,7.1054,4.681,-2.8197,-2.1031,0.6176,-3.3556,4.0237,1.3473,3.5398,8.2747,10,,,,,,,4,,2.1952,-0.5085,-0.5843,-2.2638,-0.1505,0.9442,-3.504,-2.6165,-0.2669,0.0777,0.887,-0.4675,2.5872,-0.8689,2.1952,QC'd by NIEHS/NTP
812,17389473,23741,Inactive,0,http://assay.nih.gov/htsws/rest/display/mitochondria-p1-ntp-5hr/AB07981437-01/37856480,,Inactive,,,,0,,,,,,,4,,1.1829,2.1228,-6.7998,-7.1355,0.3696,-3.9165,-10.5214,-6.6643,4.6331,-8.9187,-5.7814,-0.8249,-0.8015,-1.7478,1.1829,10,,-4.3751,1.2876,0.5786,10,-1.9904,4,0 0 0 0 0 0 0 0 0 0 0 0 0 0,9.458,2.3673,-1.8754,-4.5753,-2.0334,-2.3715,-4.2823,-2.4282,2.9546,-3.941,-2.5029,1.2305,2.512,1.3079,9.458,10,,,,,,,4,,-1.2143,-1.5061,-2.0877,-1.619,0.3603,-1.5866,-3.3671,-0.945,-0.8643,0.8231,-2.2521,-0.9876,-2.0737,-0.3904,-1.2143,QC'd by NIEHS/NTP
813,17389474,16993,Inactive,0,http://assay.nih.gov/htsws/rest/display/mitochondria-p1-ntp-5hr/AB07944746-01/37856347,,Inactive,,,,0,,,,,,,4,,-12.203,-5.7081,1.4112,1.8155,-3.6429,-0.2797,-8.749,-4.5696,4.4573,-0.8806,3.8552,-9.1278,-2.9408,-7.6502,-12.203,10,,,,,,,4,,-3.4393,-2.189,-1.095,-0.9047,-1.1815,1.2776,-6.8278,-2.024,1.0437,-2.5437,2.9966,-3.6826,-0.3125,0.604,-3.4393,10,,,,,,,4,,-1.3147,-1.4239,-0.8456,-1.4061,-1.8614,-0.9203,-2.9289,-2.7151,-1.7266,-2.1713,-1.3915,-2.6271,-3.2838,-3.6905,-1.3147,QC'd by NIEHS/NTP
814,17389475,13586,Inactive,0,http://assay.nih.gov/htsws/rest/display/mitochondria-p1-ntp-5hr/AB08082700-01/37856670,,Inactive,,,,0,,,,,,,4,,-2.4989,6.7205,-3.5368,9.6556,-5.671,9.6574,1.8819,-2.6844,-1.4653,-4.7105,4.2144,-2.7869,9.2724,-8.7466,-2.4989,10,,,,,,,4,,2.4238,0.7339,-7.0711,5.1937,-13.615,0.1145,-2.4848,-7.9527,-6.8232,-6.8933,-5.5442,-5.3623,3.0235,-6.5846,2.4238,10,,,,,,,4,,-0.8848,1.8688,-0.9444,-1.0542,3.0328,2.6824,-1.2758,2.509,0.9048,-0.5948,6.8845,2.4693,3.995,-2.002,-0.8848,QC'd by NIEHS/NTP
815,17389476,7440,Inactive,0,http://assay.nih.gov/htsws/rest/display/mitochondria-p1-ntp-5hr/AB07985493-01/37857226,,Inactive,,,,0,,-5.25,2.3332,0.6588,5,-4.5912,4,0 1 0 0 1 0 0 0 0 0 0 0 0 0,7.7492,-7.1624,3.3457,-6.5448,-2.4333,-9.5434,2.4742,-4.7871,-7.9926,-3.3231,-3.1023,4.2593,5.0216,1.4235,7.7492,10,,,,,,,4,,5.0001,-5.705,5.51,-1.9879,0.2632,-7.891,4.5703,0.0164,-5.0666,-1.5279,-1.5246,4.4011,0.5035,0.0622,5.0001,10,,,,,,,4,,0.5602,-1.804,-1.3195,-1.3964,-1.0286,-1.581,-2.2848,-1.512,-2.0026,-0.4429,-0.2627,-0.8752,-1.9522,-1.361,0.5602,QC'd by NIEHS/NTP
816,17389477,6739,Inactive,0,http://assay.nih.gov/htsws/rest/display/mitochondria-p1-ntp-5hr/AB07949262-01/37857214,,Inactive,,,,0,,,,,,,4,,9.0546,3.1942,23.3614,0.0041,8.7369,7.4264,11.1759,0.1805,-3.5594,-1.5904,7.2787,1.4808,12.9712,-4.065,9.0546,10,,,,,,,4,,0.6229,1.7616,19.0414,-3.2714,3.8287,5.5932,5.1981,-1.7297,-2.8096,-2.1987,6.8658,0.4241,8.2721,-3.3328,0.6229,10,,,,,,,4,,2.5476,0.0008,-0.2347,-0.3585,0.419,0.4381,-0.3581,-0.0129,-0.8727,1.013,0.6931,-0.473,0.1464,1.3037,2.5476,QC'd by NIEHS/NTP
817,17389478,8981,Inactive,0,http://assay.nih.gov/htsws/rest/display/mitochondria-p1-ntp-5hr/AB07981661-01/37857288,,Inactive,,,,0,,-4.2,0.8,0.7772,-27.8625,-4.1339,4,0 0 0 0 0 0 0 0 0 0 0 0 0 0,-19.8854,-2.2761,-5.0335,-5.2739,-2.4046,-1.7699,-9.2421,-5.0604,-1.3616,-5.633,-7.6994,-11.3517,-8.5465,-12.6692,-19.8854,10,,,,,,,4,,-9.1232,-0.9288,-3.6629,-3.307,-1.917,-0.8812,-9.4546,-2.7823,-0.3543,-5.2252,-3.1393,-6.1551,-2.0247,-4.3665,-9.1232,10,,,,,,,4,,-0.2704,0.632,-0.0961,-1.2477,-0.8519,-0.6931,-0.3758,-0.9013,0.0659,1.6903,-1.2707,-0.2319,-1.6643,-1.5204,-0.2704,QC'd by NIEHS/NTP
818,17389479,8981,Inactive,0,http://assay.nih.gov/htsws/rest/display/mitochondria-p1-ntp-5hr/AB02509331-01/37856841,,Inactive,,,,0,,-4.35,1.1,0.5128,24,1.0881,4,1 1 0 0 0 0 0 0 0 0 0 0 0 1,2.3613,10.0628,-7.0902,0.328,4.3829,2.617,-4.0932,1.5078,1.7248,-0.2591,7.0414,7.7514,0.002,17.5787,2.3613,10,,,,,,,4,,-3.814,5.5426,-8.0873,-0.0024,0.2779,0.0146,-15.8339,0.4793,-0.1035,-2.4859,-0.028,3.6387,-7.4169,6.8178,-3.814,10,,,,,,,4,,-0.0551,0.5609,-1.5722,-2.5585,3.6516,2.7217,10.5035,0.4019,-1.4553,-0.3152,4.7006,-1.735,1.573,2.6872,-0.0551,QC'd by NIEHS/NTP
819,17389480,21660,Inactive,0,http://assay.nih.gov/htsws/rest/display/mitochondria-p1-ntp-5hr/AB08582961-01/37856414,,Inactive,,,,0,,-5.1,4.4495,0.7192,-2.8354,7,4,1 1 0 0 0 0 0 0 0 0 0 0 0 0,-2.2943,0.6717,0.3979,4.6995,9.9153,5.8745,4.8324,9.8543,2.0998,7.7592,11.2744,-0.6603,-0.6272,-4.4461,-2.2943,10,,,,,,,4,,4.0619,-1.0707,-2.5238,-1.1592,2.1913,0.3836,-2.3603,4.5355,-1.8012,2.958,16.5212,-0.4799,0.8531,1.3914,4.0619,10,,-4.7,1.4781,0.9179,-6.2968,1,4,0 0 0 0 0 0 0 0 0 0 0 0 0 0,-5.664,-0.0821,-0.3006,1.6456,0.6325,1.7847,2.1786,1.5063,0.3144,1.105,0.3412,-0.6954,-3.013,-4.6653,-5.664,QC'd by NIEHS/NTP
820,17389481,69317,Inactive,0,http://assay.nih.gov/htsws/rest/display/mitochondria-p1-ntp-5hr/AB08582956-01/37857178,,Inactive,,,,0,,,,,,,4,,-7.1621,-7.4303,-5.5902,-0.7564,-3.1644,-6.0693,-11.0083,-3.9629,-0.3104,-7.4563,-7.2801,-8.2839,-8.9994,-9.6752,-7.1621,10,,-5.1751,1.1,0.7238,-11.6568,-2,4,0 0 0 0 0 0 0 0 0 0 0 0 0 0,-10.2252,-4.0515,-3.5071,0.8386,-1.3831,-0.7017,-6.9906,-0.377,0.5771,-5.2459,-4.1149,-8.435,-10.964,-10.5485,-10.2252,10,,-4.35,0.8,0.8534,18,-1.5294,4,0 0 0 0 0 0 0 0 0 0 0 0 0 0,12.8983,0.4058,-0.7433,0.4447,-1.3956,-4.1911,-2.9933,-1.3864,-0.0051,0.8135,-0.6383,4.8524,5.9489,5.6683,12.8983,QC'd by NIEHS/NTP
821,17389482,4649906,Inactive,0,http://assay.nih.gov/htsws/rest/display/mitochondria-p1-ntp-5hr/AB07944079-01/37856285,,Inactive,,,,0,,,,,,,4,,11.3645,1.7612,-1.544,-0.6028,12.966,0.2724,11.2624,8.5429,-1.5118,10.4941,20.0569,6.535,4.6115,12.7321,11.3645,10,,,,,,,4,,2.1095,-0.2078,-0.6116,-7.9529,0.9885,-1.0944,2.716,0.1233,-7.3906,6.9368,13.0109,-0.1762,0.3307,-0.8723,2.1095,10,,-4.45,1.4163,0.8281,14,-0.545,4,0 0 0 1 0 0 0 0 0 0 0 0 0 1,3.8999,-0.6675,-3.7875,-0.2041,4.9447,0.0191,-0.9229,-0.6065,1.3444,-1.0813,0.9179,2.0375,2.9493,8.8678,3.8999,QC'd by NIEHS/NTP
822,17389483,7270,Inactive,0,http://assay.nih.gov/htsws/rest/display/mitochondria-p1-ntp-5hr/AB02509329-01/37857016,,Inactive,,,,0,,,,,,,4,,6.2506,9.6287,15.6802,1.9921,-1.9091,1.3092,4.104,2.8923,-3.5532,15.2597,9.9459,14.4973,18.6055,12.7443,6.2506,10,,,,,,,4,,0.0762,2.0308,10.6981,-0.0401,-5.8429,4.0196,3.4715,-1.9727,-4.9541,10.8203,3.3884,1.9791,2.8759,7.5092,0.0762,10,,,,,,,4,,1.3787,4.5661,2.0263,0.8182,5.6341,-3.4181,-3.033,6.4858,2.365,1.5895,4.0181,4.2836,4.0281,-0.981,1.3787,QC'd by NIEHS/NTP
823,17389484,6895,Inactive,0,http://assay.nih.gov/htsws/rest/display/mitochondria-p1-ntp-5hr/AB08582947-01/37857319,,Inactive,,,,0,,,,,,,4,,3.9613,-8.5449,-3.107,4.7375,-7.8717,-1.2677,-5.2239,5.8297,-1.9276,0.6481,-1.5281,2.7166,0.0939,-8.0573,3.9613,10,,,,,,,4,,4.061,-8.4949,-2.3917,3.7341,-7.9515,-2.4336,-4.6464,4.6281,-3.3564,-0.2938,-0.7292,1.3012,1.488,-3.0361,4.061,10,,,,,,,4,,2.0405,-0.0931,-0.4045,0.2707,-0.6335,0.5224,0.4388,-0.3825,-0.4857,-0.1806,-1.1717,-0.4494,2.2667,-1.2098,2.0405,QC'd by NIEHS/NTP
824,17389485,12468,Inactive,0,http://assay.nih.gov/htsws/rest/display/mitochondria-p1-ntp-5hr/AB07936118-01/37857128,,Inactive,,,,0,,,,,,,4,,1.8421,3.5793,-14.0519,1.6019,-4.5775,-8.3306,4.5352,1.9553,-3.4373,0.0865,-12.56,3.8828,-2.9287,-6.9605,1.8421,10,,,,,,,4,,0.0998,3.1683,-10.2276,2.5985,-3.645,-6.5761,2.9577,4.5279,-3.6964,1.148,-5.212,2.927,1.9597,-3.5463,0.0998,10,,,,,,,4,,-1.4832,-1.1343,-4.6489,-3.0742,-0.451,-2.8215,-1.1835,-1.0658,-1.3014,-2.3824,-3.6769,-1.3012,-3.2857,-1.7815,-1.4832,QC'd by NIEHS/NTP
825,17389486,7046,Inactive,0,http://assay.nih.gov/htsws/rest/display/mitochondria-p1-ntp-5hr/AB07981550-01/37857149,,Inactive,,,,0,,-5.75,4.9549,0.6018,-3.0438,3,4,1 0 0 0 0 1 0 0 0 0 0 0 0 1,4.5339,-1.8853,3.2547,-1.3959,1.5694,3.0182,-2.6441,3.9557,7.7436,-0.482,-4.1983,-2.5149,-0.4821,-5.4532,4.5339,10,,,,,,,4,,1.5636,-0.5554,3.5251,0.8468,-0.0964,4.6994,0.2918,2.5707,6.5495,3.3528,2.1799,3.175,5.2665,0.227,1.5636,10,,,,,,,4,,0.2238,-2.5387,-2.1198,-0.8108,-1.709,-0.3956,-4.598,0.0025,0.2948,-0.9851,-2.0715,-2.3093,-1.7083,-1.9311,0.2238,QC'd by NIEHS/NTP
826,17389487,12463,Inactive,0,http://assay.nih.gov/htsws/rest/display/mitochondria-p1-ntp-5hr/AB07930279-01/37856622,,Inactive,,,,0,,,,,,,4,,-3.9777,3.4181,10.7867,3.1297,-4.9949,3.6988,-2.4664,-0.5415,-5.4186,2.9309,9.3889,0.5801,-9.0028,0.2348,-3.9777,10,,,,,,,4,,-0.3607,0.1756,12.014,3.8681,-11.9251,1.3058,-2.2942,-7.2011,-2.5289,5.4701,9.4912,3.5399,-8.1731,-2.986,-0.3607,10,,-4.6,3.132,0.7267,3.5,-2.0515,4,0 0 0 1 0 0 1 0 0 0 0 0 0 1,-1.6894,-0.0255,-3.7929,-1.9659,6.0692,-1.7918,-2.048,6.8806,-1.5543,-2.1502,-3.0651,-2.3608,0.1731,2.7648,-1.6894,QC'd by NIEHS/NTP
827,17389488,15560,Inactive,0,http://assay.nih.gov/htsws/rest/display/mitochondria-p1-ntp-5hr/AB02509387-01/37857362,,Inactive,,,,0,,-4.7,0.91,0.7155,18,-3.6887,4,1 0 1 0 0 0 0 0 0 0 0 0 0 0,13.1431,7.1452,-3.9571,9.0629,-9.3239,4.9968,-1.7191,-8.9347,-5.0837,3.0203,0.4808,2.0616,7.4162,11.959,13.1431,10,,,,,,,4,,1.6091,-0.3239,-2.713,2.2606,-11.2377,2.2211,-2.1752,-12.6995,-0.9385,2.1507,1.1261,0.3128,0.5161,2.902,1.6091,10,,,,,,,4,,0.4961,1.79,-0.4927,1.0269,-1.557,0.1157,1.1783,0.7657,-4.8354,-0.5556,-2.0254,-0.4581,-2.3077,2.4092,0.4961,QC'd by NIEHS/NTP
828,17389489,7657,Inactive,0,http://assay.nih.gov/htsws/rest/display/mitochondria-p1-ntp-5hr/AB07990243-01/37856729,,Inactive,,,,0,,-5.7,3.132,0.6438,3.5,-2.473,4,0 0 1 1 0 0 0 0 0 0 0 0 0 1,-4.0362,-0.4901,-3.9975,2.4325,3.589,-1.5683,-0.5057,-4.5196,-4.5609,1.229,1.3586,6.5869,0.5702,3.8797,-4.0362,10,,,,,,,4,,-2.7724,-0.6855,-5.515,0.232,2.0827,-1.7645,-0.7376,-5.1799,-6.265,-0.812,0.3739,5.0339,-0.7827,0.6521,-2.7724,10,,,,,,,4,,-0.113,-1.418,-0.9591,-1.9206,-1.4698,-2.4875,-2.9727,-1.5497,-1.6619,-0.2994,-1.4523,-2.1466,-2.4804,-3.0844,-0.113,QC'd by NIEHS/NTP
829,17389490,11245,Inactive,0,http://assay.nih.gov/htsws/rest/display/mitochondria-p1-ntp-5hr/AB08006196-01/37856657,,Inactive,,,,0,,,,,,,4,,-4.9481,-2.2415,-3.7863,-0.4886,3.3252,9.8122,2.5638,6.2346,-0.6997,0.8738,-5.1312,-3.7981,4.2031,4.136,-4.9481,10,,,,,,,4,,-4.4105,0.8643,0.2322,-3.9189,0.1493,3.0291,-3.1202,2.3848,-3.8601,-2.7725,-1.2195,-3.3101,-1.2625,2.9814,-4.4105,10,,,,,,,4,,0.8924,-0.0737,-1.4393,0.3175,-1.3599,-0.2935,0.4764,0.7558,-0.2658,0.6913,-0.6639,-0.6865,3.1365,1.4348,0.8924,QC'd by NIEHS/NTP
830,17389491,6588,Inactive,0,http://assay.nih.gov/htsws/rest/display/mitochondria-p1-ntp-5hr/AB07981179-01/37857287,,Inactive,,,,0,,-8.55,3.0654,0.5011,4,-8.9862,4,0 0 1 0 0 1 0 0 0 0 0 0 0 0,10.1011,-9.1551,-1.7601,10.2097,6.0726,4.5743,-2.6816,5.6388,9.6844,-2.4744,-0.7681,7.752,-0.4544,1.6941,10.1011,10,,-8.3751,4.5045,0.4266,0,-8.0645,4,0 0 0 0 0 0 0 0 0 0 0 0 0 0,3.2317,-7.9704,-6.6448,2.1947,-0.2034,0.0794,-6.9697,-0.208,5.5393,-5.1661,-0.0463,0.0005,-0.245,0.5918,3.2317,10,,,,,,,4,,0.3631,-1.0932,1.2542,0.6326,1.5605,3.0255,-0.0594,-0.9515,0.3656,0.269,-1.5936,2.2302,-0.2005,-0.8621,0.3631,QC'd by NIEHS/NTP
831,17389492,61179,Inactive,0,http://assay.nih.gov/htsws/rest/display/mitochondria-p1-ntp-5hr/AB08001574-01/37856707,,Inactive,,,,0,,-8.05,4.9549,0.4332,2.5,-3.1965,4,0 0 0 1 0 0 0 0 1 0 0 0 0 0,4.8613,-2.6431,-3.4971,2.1533,6.4989,3.6621,6.0348,5.3589,2.3223,7.2072,-0.2658,0.8174,-2.4938,1.3746,4.8613,10,,,,,,,4,,0.6698,-1.5467,-0.4196,1.4653,5.1475,-0.4771,8.8632,6.0743,0.9087,5.6059,2.0615,-0.7943,-1.4019,1.5073,0.6698,10,,,,,,,4,,-1.5574,1.3074,-0.6833,0.4315,0.516,-0.3982,-5.1007,0.0745,2.0439,0.847,-3.544,1.1117,-0.391,1.6125,-1.5574,QC'd by NIEHS/NTP
832,17389493,8394,Inactive,0,http://assay.nih.gov/htsws/rest/display/mitochondria-p1-ntp-5hr/AB07981923-01/37857011,,Inactive,,,,0,,,,,,,4,,-2.0778,2.8717,4.9526,-4.6324,0.6158,-4.1492,-0.2213,5.7391,-2.8357,-0.6591,-2.3272,-3.464,5.8023,3.2594,-2.0778,10,,,,,,,4,,-6.331,1.2112,2.2384,-5.8512,-1.2519,-7.7589,-2.6745,4.7848,-4.2246,-4.7596,-5.2621,-5.5708,2.4025,0.7021,-6.331,10,,,,,,,4,,0.7614,-3.1549,-1.8041,-2.0851,-1.3492,-0.8611,-2.0817,-2.5646,-3.069,-0.8542,-2.4008,-1.0264,-2.3672,-1.5312,0.7614,QC'd by NIEHS/NTP
833,17389494,5371084,Inactive,0,http://assay.nih.gov/htsws/rest/display/mitochondria-p1-ntp-5hr/AB08582944-01/37857364,,Inactive,,,,0,,,,,,,4,,11.6999,2.531,-2.0094,-2.5482,9.7143,-0.8016,-3.6175,-1.7925,1.7233,6.1131,12.7127,0.9077,-1.1836,5.9573,11.6999,10,,,,,,,4,,8.2132,-0.4463,-3.3407,-2.4483,6.3426,-0.7775,-5.3605,-1.9982,0.3461,0.7049,10.8013,-0.7652,-1.9247,5.5498,8.2132,10,,,,,,,4,,1.1892,-0.0446,0.5208,-0.0958,0.2809,-1.6489,0.3459,0.8794,0.2051,0.541,-0.3755,0.081,-0.2744,1.2246,1.1892,QC'd by NIEHS/NTP
834,17389495,18728,Inactive,0,http://assay.nih.gov/htsws/rest/display/mitochondria-p1-ntp-5hr/AB08582932-01/37856883,,Inactive,,,,0,,-8.55,3.99,0.5011,0,-10.1213,4,0 0 0 0 1 1 0 0 0 0 0 0 0 1,-14.1792,-10.1011,-5.0981,1.7376,0.8359,8.9014,11.0293,-2.3236,-0.0948,1.6657,-1.5506,7.2755,-5.1262,-3.2024,-14.1792,10,,-4.3751,1.8617,0.609,-23.3799,-0.5,4,0 0 0 0 0 0 0 0 0 0 0 0 0 0,-22.8166,-9.8992,-3.9505,-0.6192,-0.5835,6.2209,8.5592,0.5739,0.709,-2.303,-2.8015,0.0693,-9.2408,-7.4468,-22.8166,10,,-4.1,1.1,0.9385,16,0.7268,4,0 0 0 0 0 0 0 0 0 0 0 0 0 0,10.0784,0.3501,0.1093,1.0122,-0.2277,0.8312,0.6433,0.3804,0.4054,1.1509,1.3952,2.9512,3.8866,4.7238,10.0784,QC'd by NIEHS/NTP
835,17389496,641245,Inactive,0,http://assay.nih.gov/htsws/rest/display/mitochondria-p1-ntp-5hr/AB08548297-01/37857054,,Inactive,,,,0,,,,,,,4,,7.5767,-5.2726,4.5949,1.2875,3.568,4.0783,-6.8595,8.9233,-0.5249,4.717,7.5035,3.6376,20.7694,7.3571,7.5767,10,,,,,,,4,,1.5633,-8.1646,0.6276,-0.8697,0.1382,0.9589,-10.7311,2.6899,-4.6302,1.2508,2.8327,0.9507,9.2733,-0.2651,1.5633,10,,,,,,,4,,-0.8786,-0.1154,-0.1546,-0.3334,-0.3909,0.0205,-1.0452,0.5901,-1.0728,0.8084,-0.3917,-0.0464,0.0216,-0.2564,-0.8786,QC'd by NIEHS/NTP
836,17389497,106729,Inactive,0,http://assay.nih.gov/htsws/rest/display/mitochondria-p1-ntp-5hr/AB08582935-01/37857519,,Inactive,,,,0,,,,,,,4,,3.9911,-1.4341,1.7049,0.6461,-4.0393,-3.716,0.2984,6.055,-2.1598,-4.721,-2.7154,-2.6133,6.2618,1.3644,3.9911,10,,,,,,,4,,7.4537,0.4491,6.1974,0.0117,0.5085,0.16,0.7427,9.2216,-0.4337,-2.2365,0.5796,-0.3306,6.0592,6.3254,7.4537,10,,,,,,,4,,0.0119,-2.3392,-1.0037,0.3699,-1.13,-1.5595,-1.206,-0.4437,-0.0918,-0.4059,-0.6882,-1.2588,-0.0703,-1.6336,0.0119,QC'd by NIEHS/NTP
837,17389498,11742,Active,40,http://assay.nih.gov/htsws/rest/display/mitochondria-p1-ntp-5hr/AB07944058-01/37856375,,Inhibitor,33.4915,116.87,,0,Partial curve; high efficacy,-4.35,2.2526,0.9339,-97.8935,-5.6855,-2.1,0 0 0 0 0 0 0 0 0 0 0 0 0 0,-89.2325,-4.4775,-5.7825,-5.4121,-6.6046,-2.896,1.9815,-16.296,-5.1506,-9.3564,2.6223,-20.5149,-17.0707,-46.7061,-89.2325,0,Partial curve; high efficacy,-4.4751,0.7,0.9639,-120.56,-3.6907,-2.1,0 0 0 0 0 0 0 0 0 0 0 0 0 0,-91.3337,-2.5499,-3.9346,-2.652,-4.886,-3.5301,0.5735,-14.2058,-13.4329,-22.4827,-20.621,-44.6714,-44.2403,-65.1879,-91.3337,10,Complete curve; partial efficacy,-5.45,1.111,0.9979,59.5152,-1.2037,1.2,0 0 0 0 0 0 0 0 0 0 0 0 0 0,57.2579,-1.4647,-1.5751,-2.6445,-0.3187,1.1431,1.7926,2.0639,10.3615,17.658,30.9364,44.0474,51.5537,57.9615,57.2579,QC'd by NIEHS/NTP
838,17389499,6782,Inactive,0,http://assay.nih.gov/htsws/rest/display/mitochondria-p1-ntp-5hr/AB07990229-01/37856350,,Inactive,,,,0,,,,,,,4,,-2.5087,-7.7971,5.691,1.3582,-0.3608,-9.5478,-1.2052,7.0572,-1.8632,9.8062,-3.6553,-2.2177,5.3708,-0.6043,-2.5087,10,,,,,,,4,,-0.2702,-3.7139,9.669,3.9638,1.6807,-6.698,2.3378,9.0108,0.1304,10.7473,-1.8771,0.2751,6.9693,0.0495,-0.2702,10,,,,,,,4,,0.676,-2.9914,-1.9982,-2.6466,-2.4329,-3.2085,-2.5189,-0.6999,-1.7733,-1.1738,-2.2394,-1.6232,0.2654,0.392,0.676,QC'd by NIEHS/NTP
