PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Phenotype,Potency,Efficacy,Analysis Comment,W590-Activity_Score,W590-Curve_Description,W590-Fit_LogAC50,W590-Fit_HillSlope,W590-Fit_R2,W590-Fit_InfiniteActivity,W590-Fit_ZeroActivity,W590-Fit_CurveClass,W590-Excluded_Points,W590-Max_Response,W590-Activity at 0.0005899000 uM,W590-Activity at 0.00295 uM,W590-Activity at 0.015 uM,W590-Activity at 0.033 uM,W590-Activity at 0.074 uM,W590-Activity at 0.165 uM,W590-Activity at 0.369 uM,W590-Activity at 0.824 uM,W590-Activity at 1.843 uM,W590-Activity at 4.122 uM,W590-Activity at 9.217 uM,W590-Activity at 20.61 uM,W590-Activity at 46.08 uM,W590-Activity at 92.17 uM,Ratio-Activity_Score,Ratio-Curve_Description,Ratio-Fit_LogAC50,Ratio-Fit_HillSlope,Ratio-Fit_R2,Ratio-Fit_InfiniteActivity,Ratio-Fit_ZeroActivity,Ratio-Fit_CurveClass,Ratio-Excluded_Points,Ratio-Max_Response,Ratio-Activity at 0.0005899000 uM,Ratio-Activity at 0.00295 uM,Ratio-Activity at 0.015 uM,Ratio-Activity at 0.033 uM,Ratio-Activity at 0.074 uM,Ratio-Activity at 0.165 uM,Ratio-Activity at 0.369 uM,Ratio-Activity at 0.824 uM,Ratio-Activity at 1.843 uM,Ratio-Activity at 4.122 uM,Ratio-Activity at 9.217 uM,Ratio-Activity at 20.61 uM,Ratio-Activity at 46.08 uM,Ratio-Activity at 92.17 uM,W535-Activity_Score,W535-Curve_Description,W535-Fit_LogAC50,W535-Fit_HillSlope,W535-Fit_R2,W535-Fit_InfiniteActivity,W535-Fit_ZeroActivity,W535-Fit_CurveClass,W535-Excluded_Points,W535-Max_Response,W535-Activity at 0.0005898618 uM,W535-Activity at 0.00295 uM,W535-Activity at 0.015 uM,W535-Activity at 0.033 uM,W535-Activity at 0.074 uM,W535-Activity at 0.165 uM,W535-Activity at 0.369 uM,W535-Activity at 0.825 uM,W535-Activity at 1.843 uM,W535-Activity at 4.120 uM,W535-Activity at 9.217 uM,W535-Activity at 20.60 uM,W535-Activity at 46.08 uM,W535-Activity at 92.17 uM,Compound QC
861,17389522,24066,Inactive,0,http://assay.nih.gov/htsws/rest/display/mitochondria-p1-ntp-1hr/AB02509365-01/115412433,,Inactive,,,,0,,-4.7751,2.2526,0.365,10,-3.4045,4,0 0 0 0 0 0 0 0 0 0 0 0 0 1,-5.5376,-9.5038,2.6385,-8.5928,-4.3491,0.4622,-2.3396,2.8958,-3.1686,-5.4388,-2.4954,-7.5759,10.483,4.8922,-5.5376,10,,,,,,,4,,-5.2983,-12.691,1.063,-5.5709,-10.0844,2.9862,-0.6949,-1.3546,-3.5134,-7.2501,-1.6801,-10.9614,3.7268,3.3651,-5.2983,10,,,,,,,4,,-2.5434,-1.0471,-0.1297,-4.2247,4.1121,-4.0208,-3.2858,2.133,-2.8344,-2.0211,-2.3841,0.3864,0.0504,-1.1688,-2.5434,QC'd by NIEHS/NTP
862,17389523,3121,Inactive,0,http://assay.nih.gov/htsws/rest/display/mitochondria-p1-ntp-1hr/AB07949360-01/115412374,,Inactive,,,,0,,,,,,,4,,-0.4559,0.2472,10.4815,-0.1624,6.7059,-5.0758,-1.5,6.212,1.4614,-1.9519,-5.7814,1.625,7.8573,-6.2157,-0.4559,10,,,,,,,4,,-0.4251,2.3072,7.2758,0.3776,5.0429,-1.7154,-2.9341,6.5891,2.2716,-0.9093,-5.6007,5.3124,5.2775,-3.2561,-0.4251,10,,,,,,,4,,-3.3516,-2.6969,1.4392,-0.5064,-0.9232,-2.1333,1.9163,-0.9543,-1.3793,-0.9602,-0.9497,-2.4074,-1.0288,-2.7606,-3.3516,QC'd by NIEHS/NTP
863,17389524,5578,Inactive,0,http://assay.nih.gov/htsws/rest/display/mitochondria-p1-ntp-1hr/AB07944729-01/115412250,,Inactive,,,,0,,-7.4751,4.9549,0.3148,-5.7835,0,4,0 0 0 0 0 0 0 0 0 0 0 0 0 0,-6.3107,-0.7186,-4.3119,4.5386,-2.9831,-13.1529,-5.1836,-8.6237,-1.4608,-2.7597,-6.6089,-4.0218,-8.4556,-1.6017,-6.3107,10,,,,,,,4,,-4.5187,-1.8932,-2.2811,6.8831,-0.3525,-10.5691,-2.0289,-4.8007,-1.3443,-2.6497,-4.9922,-0.9184,-4.1826,0.0058,-4.5187,10,,,,,,,4,,-2.2045,-1.6276,-0.4928,-1.2519,-2.9857,-2.1866,-1.9506,-3.0078,-2.2288,-0.9718,-1.3338,-1.421,-0.9264,-1.4518,-2.2045,QC'd by NIEHS/NTP
864,17389525,5565,Inactive,0,http://assay.nih.gov/htsws/rest/display/mitochondria-p1-ntp-1hr/AB08082704-01/115412758,,Inactive,,,,0,,,,,,,4,,12.3935,3.572,6.064,4.1308,-2.6348,12.5673,11.6641,-4.4248,11.1131,7.3404,5.5234,5.7351,3.4604,8.6316,12.3935,10,,,,,,,4,,4.7331,-0.0276,4.7539,3.9868,-4.9343,10.3927,10.0945,-5.0237,5.1573,2.7722,2.0286,5.3383,2.4167,7.4972,4.7331,10,,,,,,,4,,5.0476,1.6936,1.1931,0.9432,0.7092,1.3372,0.4528,1.3608,3.4634,2.9125,1.4764,-0.236,0.5873,1.6408,5.0476,QC'd by NIEHS/NTP
865,17389526,5284626,Inactive,0,http://assay.nih.gov/htsws/rest/display/mitochondria-p1-ntp-1hr/AB07935653-01/115413441,,Inactive,,,,0,,,,,,,4,,0.8661,-3.1609,-57.1389,-1.4006,-8.5604,-55.0538,-7.8628,-9.5302,-14.8589,2.1056,-1.009,-9.2547,-13.8763,-0.4195,0.8661,10,,,,,,,4,,-4.1459,-5.7873,0,-2.7153,0.3994,0,2.4647,1.0746,-4.2653,-0.5404,3.5025,2.432,-6.1248,-5.5296,-4.1459,10,,,,,,,4,,0.4634,-1.3747,-7.0602,-2.053,-1.8065,-5.7768,-2.0124,-2.4563,-3.4176,-1.9878,1.4619,-5.489,-0.089,0.2718,0.4634,QC'd by NIEHS/NTP
866,17389527,5333,Inactive,0,http://assay.nih.gov/htsws/rest/display/mitochondria-p1-ntp-1hr/AB07949336-01/115413044,,Inactive,,,,0,,,,,,,4,,6.5335,3.7778,-0.4484,-1.6102,0.146,-7.8678,2.483,-8.9458,-5.0833,-1.5887,-8.0779,-4.7915,-6.7451,3.3198,6.5335,10,,-8.7751,4.5045,0.8449,-1.7653,9.5,4,0 0 0 0 0 0 0 0 0 0 0 0 0 1,2.2976,9.5125,-0.9338,-0.2761,0.6814,-3.5544,-0.0221,-3.3065,-3.537,-0.8024,-1.9881,-2.4188,-1.7991,-2.1108,2.2976,10,,,,,,,4,,-0.1833,-1.6038,-0.336,-1.7741,-2.1487,-3.2394,0.1587,-2.1606,-0.9117,-0.3113,-0.216,-2.0216,-1.4809,1.8811,-0.1833,QC'd by NIEHS/NTP
867,17389528,5328,Inactive,0,http://assay.nih.gov/htsws/rest/display/mitochondria-p1-ntp-1hr/AB07944717-01/115412784,,Inactive,,,,0,,,,,,,4,,-2.0321,-4.3071,-7.7489,-12.0153,-14.418,-14.2335,-4.8339,-10.5587,-1.9054,-13.7158,-0.1889,-5.4902,-5.9952,-2.3986,-2.0321,10,,,,,,,4,,-3.2267,0.9447,-1.447,-6.6253,-9.1885,-6.8211,-1.082,-5.3472,-1.3343,-5.2702,0.263,-0.5319,0.4796,-2.0161,-3.2267,10,,-4.2,1.8265,0.747,10,-1.7535,4,0 0 0 0 0 0 0 0 0 0 0 0 0 0,7.9588,-1.1549,-1.708,-1.7498,-2.3092,-2.9534,-1.0556,-2.4713,-0.681,-3.5446,0.2416,0.7587,-0.6221,0.0756,7.9588,QC'd by NIEHS/NTP
868,17389529,37542,Inactive,0,http://assay.nih.gov/htsws/rest/display/mitochondria-p1-ntp-1hr/AB02509398-01/115412614,,Inactive,,,,0,,,,,,,4,,17.1222,7.4465,5.9211,9.9382,5.4304,0.2048,-1.687,12.5039,2.3747,4.7218,4.1114,4.0616,4.7568,6.6556,17.1222,10,,,,,,,4,,12.0999,1.1799,5.3391,8.126,0.1761,0.8503,-4.2063,9.2843,-0.5927,3.8338,5.3295,2.4516,2.1746,2.0847,12.0999,10,,-4.5,0.6,0.7544,-6.6676,2.5,4,0 0 0 0 0 0 0 0 0 0 0 0 0 1,0.9195,3.8698,2.3738,2.5194,1.5717,1.7151,1.1564,2.8644,1.8525,-0.435,0.4268,0.7615,-0.5181,-3.473,0.9195,QC'd by NIEHS/NTP
869,17389530,445354,Inactive,0,http://assay.nih.gov/htsws/rest/display/mitochondria-p1-ntp-1hr/AB08548310-01/115413355,,Inactive,,,,0,,-4.0751,0.6,0.4641,-28.9848,-5.7407,4,0 0 0 0 0 0 0 0 0 0 0 0 0 0,-22.4873,-3.2432,-3.1172,-13.9682,-6.787,-4.7756,-5.7445,-6.8052,-11.7061,-3.8963,-15.8703,-8.556,-8.9582,-12.2326,-22.4873,10,,,,,,,4,,-7.9887,-1.605,-3.2402,-7.1174,-3.7883,-0.178,-0.1648,-2.7317,-5.659,0.7813,-10.4936,-1.699,-3.5495,-0.4167,-7.9887,10,,-4.15,1.4641,0.8209,-15.3878,-1.803,4,1 0 0 0 0 0 0 0 0 0 0 0 0 0,-9.9065,0.918,-1.9969,-4.238,-0.6692,-1.3662,-1.7724,-0.7853,-4.0712,-2.4825,-1.1047,-2.8179,-3.5862,-6.6955,-9.9065,QC'd by NIEHS/NTP
870,17389531,441074,Inactive,0,http://assay.nih.gov/htsws/rest/display/mitochondria-p1-ntp-1hr/AB07981141-01/115412892,,Inactive,,,,0,,,,,,,4,,-5.7709,13.4687,0.6324,-4.7427,8.3635,4.2176,-1.31,8.3133,12.1375,-0.7779,7.0587,1.6183,6.6101,3.1586,-5.7709,10,,,,,,,4,,2.0289,-1.6799,2.8756,-1.6909,4.9839,3.1572,-0.4999,-0.2352,0.8024,0.6762,1.124,3.1024,-1.5234,-2.3338,2.0289,10,,-5,1,0.9248,-10.2402,-0.5,4,0 0 0 0 0 0 0 0 0 0 0 0 0 0,-9.7835,1.3173,-2.1732,-1.0331,-0.7632,-0.1507,-1.073,-0.2207,0.2139,-2.355,-3.728,-5.7614,-5.9221,-8.5696,-9.7835,QC'd by NIEHS/NTP
871,17389532,4992,Inactive,0,http://assay.nih.gov/htsws/rest/display/mitochondria-p1-ntp-1hr/AB08583005-01/115413387,,Inactive,,,,0,,,,,,,4,,-7.4784,-6.9888,-8.5914,-2.292,-1.0832,-3.1137,0.9013,-3.281,-7.5731,-7.4522,-8.3662,-6.216,-6.138,1.0721,-7.4784,10,,-4.1251,4.9549,0.7354,-22.5991,0.5,4,0 0 0 0 0 0 0 0 0 0 0 0 0 0,-16.7493,-0.9571,-0.4072,-2.7776,4.2669,-0.3124,4.5048,3.8355,-1.6092,2.3286,-0.9546,-1.1574,-4.1435,0.9507,-16.7493,10,,,,,,,4,,-0.1425,-1.6656,-4.5343,-1.9765,-1.7648,2.0367,-0.8518,-2.8171,-1.5859,-4.0155,-2.7437,-3.4815,-0.1338,0.1682,-0.1425,QC'd by NIEHS/NTP
872,17389533,7175,Inconclusive,10,http://assay.nih.gov/htsws/rest/display/mitochondria-p1-ntp-1hr/AB08097172-01/115413259,,Inconclusive,,,,0,,-5.1251,4.9549,0.5106,-8.6859,4.5,4,0 0 0 0 0 0 0 0 0 0 0 0 0 0,-13.9049,11.021,-1.3652,2.3471,-0.754,4.8322,-3.9424,13.3318,-0.0229,13.7847,5.258,-6.4817,-5.6175,-5.4572,-13.9049,0,Partial curve; partial efficacy; poor fit,-4.5751,1.6259,0.796,-28.9508,2,-2.4,0 0 0 0 0 0 0 0 0 0 0 0 0 0,-27.0424,5.6603,0.3898,0.8522,-2.9181,1.4422,-8.1445,9.0906,0.1208,7.3093,4.2086,-4.1652,-13.4353,-16.4282,-27.0424,10,,-4.35,1.8579,0.9373,24,-1.02,4,0 0 0 0 0 0 0 0 0 0 0 0 0 0,20.0536,-0.0004,-3.35,-1.2568,-1.8082,-3.0204,-1.7443,0.9727,-0.0302,2.0527,0.7713,-1.0741,5.0557,11.0865,20.0536,QC'd by NIEHS/NTP
873,17389534,4909,Inactive,0,http://assay.nih.gov/htsws/rest/display/mitochondria-p1-ntp-1hr/AB02911409-01/115412147,,Inactive,,,,0,,,,,,,4,,11.2623,7.743,7.8841,0.8591,16.702,7.1258,8.5319,6.4445,3.5516,4.7222,13.8649,9.3962,0.1148,6.1906,11.2623,10,,,,,,,4,,0.5396,-0.738,-0.7828,0.166,4.465,2.2344,-0.9715,0.1312,2.4004,1.3766,4.0641,-0.9957,-2.4301,1.6494,0.5396,10,,,,,,,4,,1.7102,1.2882,1.3312,-0.0898,2.8795,4.5994,1.0371,3.5517,1.8968,0.9374,2.4101,0.6908,1.4614,1.4947,1.7102,QC'd by NIEHS/NTP
874,17389535,4064,Inactive,0,http://assay.nih.gov/htsws/rest/display/mitochondria-p1-ntp-1hr/AB07944401-01/115412602,,Inactive,,,,0,,-4.5251,4.095,0.4007,-5.8909,8.5,4,0 0 0 0 0 0 0 0 0 0 0 0 0 1,7.2282,11.6158,1.5701,1.4643,7.6902,12.6692,12.0049,10.1342,7.7083,7.3154,16.3482,5.6631,5.7761,-3.6591,7.2282,10,,,,,,,4,,0.4113,-0.3063,-3.1799,-0.098,1.0544,-0.3936,4.8624,3.0523,0.7541,0.8483,9.1412,1.1194,0.8781,-7.2289,0.4113,10,,,,,,,4,,-1.2884,2.2719,-1.0125,-0.479,1.3281,0.7685,1.3765,1.3851,0.2643,0.7841,0.8953,0.3655,0.7119,-1.3781,-1.2884,QC'd by NIEHS/NTP
875,17389536,896,Inactive,0,http://assay.nih.gov/htsws/rest/display/mitochondria-p1-ntp-1hr/AB08003367-01/115412478,,Inactive,,,,0,,,,,,,4,,14.2478,8.0012,14.9302,2.8719,2.269,4.9115,4.0654,0.6592,14.3483,10.3757,13.9955,12.8852,3.8555,6.7832,14.2478,10,,,,,,,4,,3.6034,3.5836,3.501,3.2854,0.2448,0.5379,1.0362,-0.6874,1.097,1.1448,3.266,2.0158,-0.1974,0.9564,3.6034,10,,,,,,,4,,2.0637,1.1779,3.9703,-1.1049,1.3954,3.2058,2.9728,0.4691,3.2514,0.8263,1.2958,0.8059,0.4661,0.0936,2.0637,QC'd by NIEHS/NTP
876,17389537,73339,Inactive,0,http://assay.nih.gov/htsws/rest/display/mitochondria-p1-ntp-1hr/AB02509316-01/115412820,,Inactive,,,,0,,-4.5251,0.4,0.6262,23,3,4,0 0 0 0 0 0 0 0 0 0 0 0 0 0,17.8064,5.1777,1.4721,4.9914,8.2815,8.5804,2.0803,5.061,7.3833,4.9214,13.2173,8.6731,7.7668,15.5381,17.8064,10,,,,,,,4,,2.702,3.9083,4.406,0.286,0.6932,0.3584,4.9649,0.9015,6.0369,-1.1606,3.4723,0.9514,5.2121,4.2765,2.702,10,,,,,,,4,,-2.1809,0.3157,-0.7459,0.4739,0.3127,-0.6487,-0.5819,-1.7383,1.9296,0.7428,1.7051,2.5002,-1.7349,-0.5828,-2.1809,QC'd by NIEHS/NTP
877,17389538,612,Inactive,0,http://assay.nih.gov/htsws/rest/display/mitochondria-p1-ntp-1hr/AB07944091-01/115412100,,Inactive,,,,0,,,,,,,4,,20.9569,-0.5319,10.2753,1.2651,2.8603,6.2918,6.6892,2.0541,10.1367,9.9328,-0.5033,-13.2656,13.1151,2.1719,20.9569,10,,,,,,,4,,10.0526,-2.6297,4.774,-1.7359,1.5753,-0.0964,1.8512,0.0449,1.7364,0.7762,-1.4091,-16.0933,5.6078,-0.3439,10.0526,10,,,,,,,4,,1.3267,2.6621,3.8976,0.8049,0.9433,3.5562,2.3542,0.8077,3.3207,5.4184,-0.8184,-0.0695,1.274,-0.5802,1.3267,QC'd by NIEHS/NTP
878,17389539,460,Inactive,0,http://assay.nih.gov/htsws/rest/display/mitochondria-p1-ntp-1hr/AB08082744-01/115412407,,Inactive,,,,0,,,,,,,4,,9.8808,14.0702,5.4928,-0.6665,20.365,16.1118,5.3189,10.253,6.7166,5.1745,9.1624,9.7752,13.1049,12.6333,9.8808,10,,,,,,,4,,2.0219,3.7358,-0.2399,0.5372,12.0637,7.7753,0.2974,3.9481,-0.1443,0.1232,1.8997,2.7217,0.8814,1.9869,2.0219,10,,,,,,,4,,-1.0132,1.5314,-1.2332,-0.3176,0.6473,-0.7297,-0.4711,1.0617,0.6815,5.9785,1.1103,-0.6618,-0.2803,-1.9526,-1.0132,QC'd by NIEHS/NTP
879,17389540,2724385,Inconclusive,10,http://assay.nih.gov/htsws/rest/display/mitochondria-p1-ntp-1hr/AB07859937-01/115412366,,Activator,1.496,58.7123,,0,Complete curve; partial efficacy,-5.8251,0.9,0.9647,60.4185,1.1661,1.2,1 0 0 0 0 0 0 0 0 0 0 0 0 0,58.5345,24.66,2.2954,6.7125,1.2134,4.0854,-0.3158,21.0591,24.3278,28.8861,49.7028,45.8114,55.3249,59.2338,58.5345,0,Complete curve; high efficacy,-5.8251,1.3723,0.9883,60.463,1.7507,1.1,0 0 0 0 0 0 0 0 0 0 0 0 0 0,59.5451,3.9632,1.9204,-0.3631,1.1763,2.9736,1.4577,11.8267,21.5898,31.1048,54.4268,52.57,57.3289,62.7731,59.5451,10,,-6.25,0.5,0.9266,-10.0214,4.5,4,0 0 0 0 0 0 0 0 0 0 0 0 0 0,-7.6043,5.6904,3.1914,0.8427,0.9348,0.3614,-0.4845,1.1781,-2.8625,-6.233,-7.2015,-7.3533,-7.5723,-9.6012,-7.6043,QC'd by NIEHS/NTP
880,17389541,135398739,Inconclusive,10,http://assay.nih.gov/htsws/rest/display/mitochondria-p1-ntp-1hr/AB02509339-01/115413020,,Inconclusive,,,,0,Complete curve; partial efficacy; poor fit,-5.2251,1.6604,0.7312,12.5,-0.959,1.4,0 0 0 0 0 0 0 0 0 0 0 0 0 1,2.719,1.7181,-1.6469,3.6264,-3.9089,1.7785,-2.6221,-6.6325,2.7383,-1.5225,5.9069,6.998,10.6694,12.3274,2.719,10,,,,,,,4,,3.3507,3.5849,2.6858,5.0818,-1.0356,3.8716,-0.0285,-2.4275,2.7068,0.6317,7.5232,3.2294,6.9161,8.3678,3.3507,10,,,,,,,4,,0.8029,-1.2114,-1.6389,1.451,-1.5116,-0.9207,-1.0873,-2.1797,-0.6351,-1.2956,-0.9514,-1.7463,0.1334,0.4208,0.8029,QC'd by NIEHS/NTP
881,17389542,2788,Inconclusive,20,http://assay.nih.gov/htsws/rest/display/mitochondria-p1-ntp-1hr/AB07935671-01/115413444,,Inhibitor,84.1267,35.3035,,0,Single point of activity,-4.1251,4.9549,0.7067,-43.163,-4,-3,0 0 0 0 0 0 0 0 0 0 0 0 0 0,-33.4569,-11.0646,-8.033,-7.4632,2.768,-10.4721,-9.22,-7.1719,-6.1669,-1.1504,1.4908,0.0594,-3.4695,-0.8192,-33.4569,0,Partial curve; partial efficacy; poor fit,-4.0751,4.9549,0.709,-38.3035,-3,-2.4,0 0 0 0 0 0 0 0 0 0 0 0 0 0,-28.5862,-8.0083,-7.5106,-1.4063,-0.2246,-9.7166,-6.7894,-6.6387,-1.1913,-0.3021,1.3128,-0.0805,0.1024,1.9237,-28.5862,10,,-4.05,2.7202,0.8646,-19.039,-2.3759,4,0 0 0 0 0 0 0 0 0 0 0 0 0 0,-12.5325,-2.5667,-2.5417,-3.642,-1.5633,-1.8526,-2.2067,-2.0061,-2.2356,-2.1256,-2.4354,-1.6769,-3.7353,-2.0794,-12.5325,QC'd by NIEHS/NTP
882,17389543,14749,Inactive,0,http://assay.nih.gov/htsws/rest/display/mitochondria-p1-ntp-1hr/AB08082717-01/115412664,,Inactive,,,,0,,,,,,,4,,-0.9958,-12.1098,-10.6213,-9.3557,-7.7244,-14.6732,-6.2242,-9.1051,-4.7475,-19.9484,-10.5052,-7.9826,-15.8931,-7.1125,-0.9958,10,,-4.3751,4.9549,0.6122,11,-1.5519,4,0 0 0 0 0 0 0 0 0 0 0 0 0 0,12.3192,-6.0173,-0.0039,-0.4827,0.8136,-4.0307,-0.2137,-3.0845,1.7114,-7.1266,-0.5998,4.7639,-3.5109,5.5054,12.3192,10,,-4.05,0.8,0.8142,-15.9821,-3.5207,4,0 0 0 0 0 0 0 0 0 0 0 0 0 0,-9.9851,-2.9701,-3.3955,-4.3519,-4.9301,-3.5621,-3.0597,-2.1006,-3.3165,-5.8693,-3.2928,-6.2927,-5.7973,-8.3893,-9.9851,QC'd by NIEHS/NTP
883,17389544,2720,Inactive,0,http://assay.nih.gov/htsws/rest/display/mitochondria-p1-ntp-1hr/AB07944707-01/115412978,,Inactive,,,,0,,-6.3751,2.7202,0.371,2,-4.1823,4,0 0 0 0 0 0 0 0 0 0 0 0 0 1,-6.8366,-7.744,-0.3687,-0.5657,-3.0346,-11.8186,1.0129,-4.0305,4.1689,0.0359,7.7059,2.5923,-1.1568,0.102,-6.8366,10,,-6.2251,3.9295,0.4598,0.5,-6.1502,4,0 0 0 0 0 0 0 0 0 0 0 0 0 0,-2.3365,-8.3949,-2.6686,-3.1363,-6.0141,-13.4585,-2.644,-7.573,0.852,-2.3684,6.8286,0.6596,-2.9896,1.1164,-2.3365,10,,,,,,,4,,1.0128,-0.5003,0.2916,0.8467,0.3547,-1.7685,0.3561,0.9832,1.3386,0.0731,0.6043,0.1453,1.4629,1.2848,1.0128,QC'd by NIEHS/NTP
884,17389545,2662,Active,40,http://assay.nih.gov/htsws/rest/display/mitochondria-p1-ntp-1hr/AB08001735-01/115413284,,Inhibitor,42.1632,51.7735,,0,Partial curve; partial efficacy,-4.3751,2.4064,0.9185,-62.6387,-2.5293,-2.2,0 0 0 0 0 0 0 0 0 0 0 0 0 0,-57.9988,4.0289,-7.2534,-13.0715,-0.1379,-0.9153,7.2939,-3.4654,-0.0053,-1.4792,-5.2689,-7.1852,-13.0435,-35.7071,-57.9988,0,Partial curve; partial efficacy,-4.3751,3.9295,0.9311,-53.2148,-1.4414,-2.2,0 0 0 0 0 0 0 0 0 0 0 0 0 0,-55.4321,1.8346,-5.5145,-12.2531,1.0806,-4.4627,3.9815,0.1057,1.6648,2.0548,0.6939,-1.751,-5.6183,-30.6616,-55.4321,10,,,,,,,4,,-0.3317,-1.0688,-1.1002,-1.6516,0.2931,2.2752,-1.1537,-0.791,0.3277,-3.4154,-3.6934,-3.7638,-4.3767,-4.1815,-0.3317,QC'd by NIEHS/NTP
885,17389546,5361202,Inactive,0,http://assay.nih.gov/htsws/rest/display/mitochondria-p1-ntp-1hr/AB08013885-01/115412848,,Inactive,,,,0,,-4.5751,4.9549,0.6863,5.5,-4.8069,4,0 0 0 0 0 0 0 0 0 0 0 0 0 0,3.9058,-6.9185,-3.7303,-6.8398,-4.2468,-6.374,-1.42,-5.2925,-9.8391,-0.1421,-4.1222,-5.5904,-3.5132,6.4251,3.9058,10,,-4.6751,0.5,0.4888,3,-3.2217,4,0 0 0 0 0 0 0 0 0 0 0 0 0 0,1.3941,-2.9801,-3.0213,-3.5235,-2.6891,-5.6014,-0.4923,-1.5664,-4.0381,-0.9886,0.6504,-3.7337,-0.0005,0.9727,1.3941,10,,,,,,,4,,-0.3257,-3.7846,-1.7962,-1.8236,-1.9532,-0.5421,-2.0345,-2.1708,-2.462,0.3436,-1.3637,-1.4567,-1.5583,0.0935,-0.3257,QC'd by NIEHS/NTP
886,17389547,2554,Inactive,0,http://assay.nih.gov/htsws/rest/display/mitochondria-p1-ntp-1hr/AB02914413-01/115412907,,Inactive,,,,0,,,,,,,4,,1.3155,2.2834,4.9928,-3.3736,-2.6122,-7.0908,0.2571,-0.1451,4.9929,4.2591,-2.9235,-1.2047,-6.2135,4.9419,1.3155,10,,-5.0251,3.5117,0.5026,-2.04,5,4,0 0 0 0 0 0 0 0 0 0 0 0 0 0,-2.7971,3.8272,10.8149,4.9029,0.1813,2.2114,2.7807,5.6807,7.1581,9.3006,2.2723,2.2529,-3.7833,0.4437,-2.7971,10,,-4.75,4.9549,0.9461,6.5,-0.719,4,0 0 0 0 0 0 0 0 0 0 0 0 0 0,6.4112,-2.2658,-0.3546,-1.4531,-1.2991,-1.6571,-0.8927,-0.8533,-0.3573,0.3081,-0.2468,-0.5004,4.5186,6.2213,6.4112,QC'd by NIEHS/NTP
887,17389548,2391,Inactive,0,http://assay.nih.gov/htsws/rest/display/mitochondria-p1-ntp-1hr/AB08003364-01/115413294,,Inactive,,,,0,,-6.6751,4.9549,0.3431,5,-1.4613,4,0 0 0 0 0 0 0 0 0 0 0 0 0 1,-4.9883,-2.4093,2.6472,-3.1729,1.2075,-3.7177,-1.4872,8.1279,8.0774,13.9089,-3.2099,2.7168,0.318,5.5898,-4.9883,10,,,,,,,4,,-10.6424,-3.1751,-0.1355,-4.5205,1.8427,-7.8118,-3.3842,7.2557,2.7192,7.7795,-5.9762,-1.8534,-0.9228,0.2953,-10.6424,10,,-4.05,0.8,0.72,10,-0.0667,4,0 0 0 0 0 0 0 1 0 0 0 0 0 0,6.1627,1.0497,1.2702,-0.5714,-1.3055,-0.4854,-0.3027,-0.194,3.5566,1.888,1.8617,0.4655,0.6236,3.715,6.1627,QC'd by NIEHS/NTP
888,17389549,5280965,Inactive,0,http://assay.nih.gov/htsws/rest/display/mitochondria-p1-ntp-1hr/AB07930228-01/115412325,,Inactive,,,,0,,,,,,,4,,8.0962,9.5353,-1.7112,2.25,9.33,2.1594,8.0923,4.7351,14.2967,2.2194,-3.7686,7.4522,10.5026,-1.6214,8.0962,10,,,,,,,4,,2.9829,0.3411,0.2341,1.942,-0.028,2.9861,2.7732,4.7344,5.9902,3.6358,-1.6848,4.0662,4.1155,-2.7001,2.9829,10,,,,,,,4,,1.7014,-0.5192,-1.1931,0.8839,0.0137,-1.16,-1.3655,-0.5327,-0.3116,-0.6575,-1.2975,-0.1259,0.2541,0.5305,1.7014,QC'd by NIEHS/NTP
889,17389550,135401907,Inactive,0,http://assay.nih.gov/htsws/rest/display/mitochondria-p1-ntp-1hr/AB07949240-01/115412155,,Inactive,,,,0,,-5.7251,4.4495,0.5275,3,-3.0791,4,0 0 0 0 0 0 0 0 0 0 0 0 0 0,1.0932,-1.5516,-0.9207,-7.8696,0.5057,-0.0881,-1.6813,-8.8159,-4.5548,-0.0711,3.694,0.5894,5.5058,5.0355,1.0932,10,,-4.9751,3.5117,0.3245,0.5,-5.2127,4,0 0 0 0 0 0 0 0 0 0 0 0 0 1,-6.2822,-2.8049,-7.4967,-9.0516,0.391,-4.9468,-2.1966,-11.0106,-5.1597,-4.2242,-4.6985,-3.3041,0.5472,-0.1163,-6.2822,10,,,,,,,4,,-0.0351,-3.0937,-0.2582,-2.8291,-3.5015,-2.1574,-2.4016,-0.5349,-3.1509,-1.4092,2.7628,-2.3719,-1.4389,-2.5258,-0.0351,QC'd by NIEHS/NTP
